전체주소,위도,경도
서울특별시 관악구 남현동 1053-11,37.4740119496586,126.971672835253
서울특별시 관악구 남현동 1053-2,37.4751971974024,126.971544299733
서울특별시 관악구 남현동 1053-24,37.4726246158942,126.97222808713
서울특별시 관악구 남현동 1053-29,37.4721870914352,126.971873166181
서울특별시 관악구 남현동 1053-8,37.4744987537517,126.972002082672
서울특별시 관악구 남현동 1054-31,37.4751558306077,126.97187702796
서울특별시 관악구 남현동 1055-10,37.4758529763199,126.974826099209
서울특별시 관악구 남현동 1056-12,37.4760105952399,126.975407367235
서울특별시 관악구 남현동 1056-19,37.4759233327029,126.975626040968
서울특별시 관악구 남현동 1056-30,37.4760864980042,126.976029476187
서울특별시 관악구 남현동 1062-22,37.4754795776631,126.979893357784
서울특별시 관악구 남현동 1065-22,37.4751688221363,126.97789139974
서울특별시 관악구 남현동 1067-7,37.4754442351424,126.976816979677
서울특별시 관악구 남현동 1070-27,37.474713601871,126.97337636969
서울특별시 관악구 남현동 1070-39,37.4746763646391,126.973664551047
서울특별시 관악구 남현동 1071-17,37.473951776854,126.972887584068
서울특별시 관악구 남현동 1071-21,37.4743529839441,126.972443261906
서울특별시 관악구 남현동 1071-28,37.4747875489285,126.972866593714
서울특별시 관악구 남현동 1071-33,37.4749267883005,126.973012154131
서울특별시 관악구 남현동 1071-37,37.4751559968209,126.973372255935
서울특별시 관악구 남현동 1071-7,37.4735881552441,126.973001443527
서울특별시 관악구 남현동 1072-32,37.4725297974935,126.973260704629
서울특별시 관악구 남현동 1072-44,37.4723893228865,126.972834563689
서울특별시 관악구 남현동 1072-65,37.4734426048778,126.972449813872
서울특별시 관악구 남현동 1072-67,37.4736259137355,126.972250213571
서울특별시 관악구 남현동 1072-77,37.4733509727324,126.972841563864
서울특별시 관악구 남현동 1072-99,37.4729215158916,126.97388369011
서울특별시 관악구 남현동 1079-2,37.4730254045365,126.974304535256
서울특별시 관악구 남현동 1079-54,37.4732251093385,126.974914367674
서울특별시 관악구 남현동 1079-55,37.4732243640209,126.975225253399
서울특별시 관악구 남현동 1082-16,37.4737146153671,126.97571572859
서울특별시 관악구 남현동 1085-14,37.4739467386121,126.977187682124
서울특별시 관악구 남현동 602-115,37.4718289983943,126.97811011231
서울특별시 관악구 남현동 602-158,37.4722585729188,126.978952080172
서울특별시 관악구 남현동 602-160,37.4724503089759,126.978958017957
서울특별시 관악구 남현동 602-166,37.4727862408215,126.979156663231
서울특별시 관악구 남현동 602-179,37.4732625577133,126.979924701107
서울특별시 관악구 남현동 602-181,37.4733909224285,126.980286199126
서울특별시 관악구 남현동 602-182,37.4734710598655,126.980513068699
서울특별시 관악구 남현동 602-209,37.4724073286644,126.980522162608
